Index	Author	Article
0	AaronPressman	A broad coalit of corpor went to capitol hill on tuesday to lobbi in favor of relax export restrict on comput encod technology.on thursday , the senat commerc committe will mark-up the promot of commerc onlin in the digit era act of 1996 known as pro-cod , a bill that would abolish most export restrictions.und a cold war-era munit statut , onli weak encrypt program creat in the unit state can be sold abroad , although domest use of encrypt is not regulated.compani in the high-tech industri argu they are lose busi to foreign competitor who are not bound by u.s. export restrict . and multin compani in other industri said the the restrict hamper their abil to conduct busi oversea . `` We are at a competit disadvantag vis-a-vi our foreign competitor and that is an unaccept situat , '' gregori garcia , director of intern trade affair for the american electron associ , said at a press brief here.th pro-cod bill , sponsor by republican senat conrad burn of montana , democrat senat pat leahi of vermont and other , ha bipartisan support in the commerc committe . `` We support the burn bill becaus it doe enabl compani to util encrypt technolog secur which is vital if we 're go to compet in a veri tough global marketplac , '' victor parra , presid of the electron messag associ , said.th associ repres compani that reli on electron commun , includ exxon corp , citicorp and boe Co , parra said.encrypt program use mathemat formula to scrambl inform and render it unread without a password or softwar `` key . `` earlier thi week , senat jame exon , the nebraska democrat , came out against the current bill in a letter to commerc committe chairman sen larri pressler . exon will like offer amend at the mark-up , an aid to the senat said.th clinton administr oppos the pro-cod bill , argu that export of encrypt technolog would hamper law enforc and intellig gather operatiobns.th hous judiciari committe will hold a hear on a similiar measur on septemb 25. -- 202-898-8312
1	AaronPressman	the number of bank charg non-custom for use their autom teller machin doubl over the past six month , a consum watchdog group said tuesday.about 45 percent of atm ad the controversi surcharg , on top of the fee most consum alreadi pay their own bank for use anoth bank 's machin , up from 23 percent in octob , accord to a survey by u.s. public interest research group.th non-profit consum advocaci group also found that the averag fee had risen 20 percent to $ 1.15 from 96 cent . `` bank are n't earn money the old-fashion way . instead , they 're goug consum , '' edmund mierzwinski , programm director for the group , told a press conference.two state , connecticut and iowa , have ban the practic of charg non-custom and 12 other state , along with the feder govern , are consid similar legislation.mierzwinski endors those effort and said consum should avoid use machin that impos a surcharge.th rise in fee follow a decis one year ago by the two largest atm network , visa 's plu and mastercard 's cirru , to lift a prohibit on surcharges.bank defend the practic and said the addit fee help pay for atm in new locat . `` the marketplac should decid the price for atm , not the govern , '' the american banker associ said in a statement . `` price control will onli inhibit innov and put a halt to futur atm growth . `` bank ad almost 17,000 new atm last year , a 13 percent increas , accord to a survey by the public bank network new . with surcharg now permit , `` atm growth is acceler , '' editor don davi said . `` It 's a better busi to be in , so more peopl are get in . `` big bank were more like than smaller one to impos a surcharg , accord to the survey . among the 300 largest bank , 53 percent of atm had a fee while onli 40 percent of smaller bank atm and 6 percent of credit union atm charg a fee.that could rais antitrust law implic if larg bank band togeth to impos fee and drive smaller competitor out of busi , mierzwinski charg . `` not onli are big bank use their monopoli muscl to punish consum with higer fee , but their strategi is to use the surcharg to hurt small bank and credit union as well , '' he said.custom of small bank , which have fewer of their own atm , would like have to pay a surcharg more often.bank say free-market competit is function properli . `` competit is alreadi keep atm price in check , '' the aba said.th consum group said it survey 860 atm chosen at random in 27 state and the district of columbia . the highest rate of surcharg were in the south , with 93 percent of texa atm impos a surcharg , 95 percent in georgia , and 88 percent in viginia and north carolina , the group said .
2	AaronPressman	sun microsystem inc 's decis to use power comput encod softwar made in russia put ad pressur on the clinton administr on monday to relax strict u.s. export control on similiar product made by american companies.encrypt product , which scrambl inform and render it unread without a password or softwar `` key , '' have becom a critic compon of global commun and onlin commerc over the internet . but encrypt 's power to prevent hacker from snoop on telephon call and credit card number sent over the internet can also be employ by drug cartel or terrorist to thwart law enforc survellience.clinton administr offici oppos allow export of power u.s. encrypt program unless the softwar is design to allow the govern to crack the code by gain access to the softwar keys.feder bureau of investig director loui freeh and other have said repeatedli that the encrypt `` geni '' is not yet `` out of the bottl . '' `` It 's an arguabl legal way around what is clearli a ludicr export control polici of the administr that is creat job in russia , '' rep. bob goodlatt said in a telephon interview.goodlatt , republican of virginia , introduc one of sever measur be consid by congress to relax the export control . the bill wa pass by the hous judiciari committe last week and is await action by the intern relat committee.if u.s. export restrict stay in place , industri offici warn , other compani will go the same rout . `` A lot of u.s. compani have been contempl thi , '' said jon englund , vice presid at the inform technolog associ of america . `` sun 's move is the first exampl of a trend that will continu . We 'll see more and more of that . `` administr offici had no comment on the sun announc . ( ( 202-898-8312 ) )
3	AaronPressman	the number of bank charg non-custom for use their autom teller machin doubl over the past six month , a consum watchdog group said tuesday.about 45 percent of atm ad the controversi surcharg , on top of the fee most consum alreadi pay their own bank for use anoth bank 's machin , up from 23 percent in octob , accord to a survey by u.s. public interest research group.th non-profit consum advocaci group also found that the averag fee had risen 20 percent to $ 1.15 from 96 cent . `` bank are n't earn money the old-fashion way . instead , they 're goug consum , '' edmund mierzwinski , program director for the group , told a press conference.two state , connecticut and iowa , have ban the practic of charg non-custom and 12 other state , along with the feder govern , are consid similar legislation.mierzwinski endors those effort and said consum should avoid use machin that impos a surcharge.th rise in fee follow a decis one year ago by the two largest atm network , visa 's plu and mastercard 's cirru , to lift a prohibit on surcharges.bank defend the practic and said the addit fee help pay for atm in new locat . `` the marketplac should decid the price for atm , not the govern , '' the american banker associ said in a statement . `` price control will onli inhibit innov and put a halt to futur atm growth . `` bank ad almost 17,000 new atm last year , a 13 percent increas , accord to a survey by the public bank network new . with surcharg now permit , `` atm growth is acceler , '' editor don davi said . `` It 's a better busi to be in , so more peopl are get in . `` big bank were more like than smaller one to impos a surcharg , accord to the survey . among the 300 largest bank , 53 percent of atm had a fee while onli 40 percent of smaller bank atm and 6 percent of credit union atm charg a fee.that could rais antitrust law implic if larg bank band togeth to impos fee and drive smaller competitor out of busi , mierzwinski charg . `` not onli are big bank use their monopoli muscl to punish consum with higer fee , but their strategi is to use the surcharg to hurt small bank and credit union as well , '' he said.custom of small bank , which have fewer of their own atm , would like have to pay a surcharg more often.bank say free-market competit is function properli . `` competit is alreadi keep atm price in check , '' the aba said.th consum group said it survey 860 atm chosen at random in 27 state and the district of columbia . the highest rate of surcharg were in the south , with 93 percent of texa atm impos a surcharg , 95 percent in georgia , and 88 percent in viginia and north carolina , the group said . ( ( -- 202-898-8312 ) )
4	AaronPressman	there may be mani more place to hang your hat in cyberspac soon , thank to a plan adopt by the internet societi and a host of other group , the societi announc tuesday.but while some major internet compani immedi endors the plan , onlin servic provid gave it a cool reception.th internet societi , which help develop and coordin internet standard , said the plan would provid seven new top-level domain , the last three letter at the end of everi electron mail or web site address.new domain name such as `` firm , '' `` art , '' and `` web '' will be ad to exist top-level domain such as `` com , '' `` net , '' and `` org '' start in the third quarter of 1997 , the societi said.comput maker digit equip corp. , telecommun compani mci commun corp. and uunet technolog inc. , a unit of worldcom inc. , endors the plan , first unveil in februari , the societi said.but america onlin inc. , the largest onlin servic in the world with more than 8 million member , said some detail still need to be work out . `` We are still studi the propos , '' said william burrington , director of law and public polici at america onlin . while prais the plan 's concept , burrington said he thought `` it still need some more work . '' the compani hope to craft a better plan `` that is more saleabl , '' he added.th largest `` pure internet '' servic provid , AT & amp ; T corp. 's worldnet servic , wa equal unenthusiast . `` We are still look at these domain name , '' spokesman mike miller said . `` We are studi them . `` the plan also ha been endors by the internet assign number author , the central coordin of internet address and other standard oper under a charter from the societi and the feder network council.th plan also establish an arbitr and mediat procedur for resolv disput over name , such as when a trademark name is use in an internet address.last year , for exampl , toymak hasbro inc. won a lawsuit to regain control of the address `` candyland.com , '' which wa be use for an adult web site with nude photograph . but more complex disput aris when both parti may have a legitim claim to an address name . `` respons self-govern is the key factor in assur that the internet will reach it fullest potenti , '' internet societi presid donald heath said.although other group have tri to establish altern domain name , they have not succeed in persuad the vast major of internet servic provid to add their new name to the comput that rout inform across the network.th internet societi plan better meet the need of major provid , support said . `` the internet is grow up rapidli and it is vital that the process , procedur and polici that defin it adminstr be sound , stabl and sustain in an intern set , '' mci senior vice presid vincent cerf said.mci is a top oper of the internet 's backbon network.curr , one compani , network solut inc. , regist address under most exist top-level domain under a contract with the nation scienc foundat . under the plan , up to 28 new registr agent will be chosen in a process overseen by the big six account firm arthur andersen.but network solut senior vice presid don telag said have so mani registrar would creat chao on the net . `` thi plan risk the stabil of the internet , '' he said.th current system function `` pretti well '' without intern arbitr procedur , telag said , note hi compani ha regist 1.2 million address and been su onli 26 times.herndon , va.-bas network solut will come out with it own plan soon for reform the domain name registr system , telag ad .
5	AaronPressman	scientist work on the next gener of the internet are find their first challeng is to convinc a sceptic u.s. congress to fund the project.rath than stumbl over new hardwar or softwar , the next gener network ha quickli run into sever road block on capitol hill.on tuesday , scientist involv with the project , includ presid bill clinton 's top scienc advis john gibbon , will tri to sooth concern at a senat hearing.som lawmak are worri that the project lack focu and is not suffici differ from a relat univers project known as internet2.th next gener internet project , announc with great fanfar by clinton dure last year 's presidenti campaign , aim to send data at 1,000 time the speed of today 's net . higher speed and improv reliabl could spur a host of new use for the network , some with sound and video.clinton pledg the govern would spend $ 100 million annual for five year to build the super high-spe network and promot it use.th money wa to come from realloc exist research fund , but that plan is alreadi in troubl . In april , the hous of repres pass a budget for the nation scienc foundat that specif bar ani spend on the next gener internet.th bill is await action by the senat and could be modifi befor go to the presid 's desk.in may , 28 senat sent a letter to scienc advis gibbon complain about the composit of the next gener internet 's advisori board . the senat , from both polit parti but all from rural state , note that the board 's 20 member came from onli eight state . `` instead of a potenti major posit develop , therefor , 'next gener internet ' and internet2 becom a signific sourc of concern for us , '' the senat wrote in the letter obtain by reuters.n scienc foundat offici are confid that the programm will go forward . `` next gener internet is a presidenti initi that will have a lot of congression involv , '' nsf spokeswoman elizabeth gaston said.congression staffer said for the time be they remain confus about the administr 's prioriti . `` everyon I speak with tell me differ thing about what these programm are suppos to do , and which agenc get which portion of the budget , '' one staffer said.to some degre , the confus reflect the chang fortun of the internet . while the origin internet , includ connect to univers , wa larg fund by govern , thi time around higher educ and industri are more like to foot some of the bill.mor than 100 school have pledg to spend $ 50 million a year on internet2 , mainli for higher speed connect and switch . the school are also seek corpor sponsorship.less govern involv for build the plumb free up more resourc for cutting-edg research , accord to georg strawn , director of the nsf 's divis of network and commun research . `` the first time around , the nsf sort of had to take the lead to diffus it to all of higher educ becaus there wa n't an industri yet , '' strawn said . `` now that there is , as soon as it becom cost effect we 've got peddler out there who will find higher educ a recept custom . `` the origin internet began as a defenc depart project call arpanet to link far-flung comput centr . fund mostli by the govern until the mid-1980 , the net is now run almost entir by privat compani includ mci commun corp , sprint corp and bbn corp.repres from those compani gather with other star of the internet commun in virginia two week ago for a `` next gener '' plan meet . some will return to washington next week to explain the project to congress .
6	AaronPressman	the u.s. commerc depart show an unexpect degre of flexibl in approv an applic from sybas inc to export comput encod product , compani offici said on wednesday.about a dozen compani have alreadi gotten permiss thi year to export product with encrypt , data scrambl technolog that render inform unread without a password or softwar `` key . `` but sybas 's product appear to skirt strict u.s. export rule in effect sinc the begin of the year . `` I wa suffici surpris when I got word over the phone that we had been approv that I wrote a letter spell out what I saw as the differ of our approach versu ( the regul ) , '' said tom parenti , sybas 's director of data and commun secur . shortli thereaft , parenti said , he receiv written confirmation.to export power encrypt under the current rule , a compani must includ featur allow the govern to crack the code by gain access to the softwar key . compani may export medium-strength encrypt by promis to includ so-cal key recoveri featur within two year . the rule indic that a product must allow key recoveri both for encrypt store data , like a file on a hard drive , as well as for live commun that are encoded.but sybas 's product , internet transact softwar and client-serv databas program , will allow for key recoveri within two year onli of store data . encrypt commun between a custom and a web site use the sybas transact softwar , for exampl , would not allow for govern decod , parenti said.th key recoveri featur wa design to meet the need of custom , he said . `` mani peopl want a key recoveri mechan for store data , '' parenti said . `` but there is no reason , onc I have the answer to my queri , to want the key to decrypt those commun . `` sybas still support legisl propos that congress is consid that would elimin most of the export restrict , parenti said.th clinton administr ha oppos loosen the rule , but pressur for chang continu to mount thi week , as sun microsystem inc announc it would get around the rule by market russian-mad encrypt with it export products.and on wednesday , a group of cryptographi expert releas a studi conclud that the large-scal infrastructur need to support key recoveri for law enforc agenc could compromis the secur of law encrypt user . ( ( -- 202-898-8312 ) )
7	AaronPressman	As a new class of financi deriv base on credit risk continu to grow in popular , u.s. bank regul are still ponder how to best assess the sometim complex instruments.most deriv , financi instrument whose valu is base on or `` deriv from '' the valu of someth els , are link to interest rate or currenc . credit deriv are base on the valu of loan , bond or other lend vehicl . `` I think , inevit , the regul , the lawyer and the account tend to be react to market develop and , to an extent , tri to keep up , '' william kroener , gener counsel of the feder deposit insur corp , said friday at a symposium sponsor by the agency.last august , bank regul issu preliminari guidanc to bank examin concern credit deriv . the guidanc emphas that bank should have polici in place describ how they intend to manag the risk incur from credit deriv . regul also ask bank to clearli list credit deriv activ in their call report instead of lump the deal into bigger deriv categori such as interest rate swaps.but regul are like to revis the guidanc and are still consid perhap the most critic issu , the amount of capit a bank must set asid against it credit deriv portfolio . `` the real issu is whether a credit deriv is differ than other loan , '' fdic chairman ricki helfer said at the symposium . `` our challeng is to identifi the risk embed in credit deriv and establish appropri standard for those risk -- includ appropri capit requir under the basl risk-bas capit accord , '' helfer said.lik other deriv , credit product can be use to limit or reduc risk taken by bank , regul said . `` they have great potenti to enhanc the manag of credit risk , '' christin cum , senior vice presid in the bank supervison group of the feder reserv bank of new york , said at the symposium . `` and the better you can manag credit risk the better you can manag all of a bank 's risk . '' So far , regul see credit deriv as analag to letter of credit , cum said . when a bank issu a letter of credit , it promis to make good on a loan or bond if the origin borrow default . `` the capit issu of cours is the most import in the sens that it ha a dollar and cent implic for bank institut involv in thi market , '' cum said.market innov could make easier the task of track credit risk and assess capit standard , industri particip said . j.p. morgan & amp ; Co unveil a product on thursday call `` creditmetr , '' which is design to help bank and other better measur and manag credit risk both on deriv and on ordinari bond and loan . `` It is onli if we can promot better understand of credit risk in a portfolio framework that we will be abl to gener greater transpar of credit risk , and ultim , greater liquid in the credit market , '' blyth master , head of global credit deriv at the bank , said.creditmetr is also meant to `` kick-start or set forward the dialogu we have with bank regul , '' master said . `` one of the perhap most obviou applic of the creditmetr framework is a move toward a more risk-driven alloc of econom and potenti regulatori capit for credit riski instrument , includ potenti credit deriv . `` ( ( -- 202-898-8312 ) )
8	AaronPressman	legisl to dramat relax u.s. export restrict on comput encod technolog move ahead on wednesday as the hous judiciari committe approv the measure.th bill , known as the secur and freedom through encrypt act , now goe to the hous intern relat committe where oppon plan to make their stand.encrypt , comput programm that scrambl inform and render it unread without a password or softwar `` key , '' ha becom an essenti compon of global commun and electron commerc over the internet.th clinton administr ha oppos the bill and similiar measur in the senat , argu that allow strong encrypt out of the countri will put it in the hand of intern crimin and terrorists.repres bob goodlatt , the bill 's author , said he had spoken to administr offici on tuesday and hope a compromis could be reach . `` We 're veri , veri close in mani area , '' the virginia republican told report after the committe vote . `` the export control issu is probabl the area that we 're still the furthest apart on . `` goodlatt 's bill would also write into law the current polici of allow unrestrict domest use of encryption.th bill would crimin the use of encrypt to conceal inform relat to the commiss of a feloni . that provis came on an amend from massachusett democrat repres william delahunt which replac a broader crimin provis includ in the origin bill.th committe also approv an amend requir law enforc offici to compil statist for congress on the use of encrypt by criminals.softwar industri offici and privaci advoc , who have strongli oppos the export limit , urg lawmak to continu move the legisl forward.th intern relat committe `` will have a go at it but it 's great to have some momentum , '' netscap commun corp. public polici counsel peter harter said after the vote . `` We 've come a long way in a veri short period of time . thi legisl is move at internet time . `` jonah seiger , commun director at the centr for democraci and technolog , said the vote wa a `` histor moment . `` `` the judiciari committe agre that the administr ha the wrong polici send a veri clear signal that we need to chang direct , '' seiger said.befor the vote , committe chairman henri hyde of illinoi prohibit amend to the bill on the controversi export section . hyde said the export section fell under the jurisdict of the intern relat committe .
9	AaronPressman	the clinton administr ha craft a plan to reform what mani call outdat u.s. bank law and will begin make it posit known over the next few week , industri offici said monday.th administr will formal unveil it plan when treasuri secretari robert rubin testifi at a hous bank committe hear june 3 , but detail of the plan are expect to emerg as earli as thi week , the offici said.und secretari john hawk , a lead architect of the administr plan , is slate to speak here on wednesday . In hi speech , hawk may indic the administr 's stand on mix bank and commerc , lobbyist said . `` Mr . hawk certainli wo n't do anyth to upstag rubin , '' one lobbyist in contact with the administr note . `` but we will hear gener where they are on some of these topic . `` while most in congress and the financ industri agre that the depression-era barrier separ bank from secur and insur should be torn down , there is littl consensu about go farther and allow bank to combin with secur and other firms.th administr 's posit ha evolv over the past sever month . A task forc on financi reform head by hawk initi recommend elimin all barriers.but the specter of citicorp or chase manhattan merg with gener motor corp. or microsoft corp. drew strong protest from hous bank committe chairman jim leach of iowa , as well as promin labour and consum groups.and dure the spring , sever democrat senat , led by paul sarban of maryland , wrote to rubin to regist their opposit to mix bank and commerce.bow somewhat to the critic , the administr is now said to favour allow limit combin . financi firm would be limit to a `` basket '' of non-financi activ , express as a percentag of total revenu or capit , some lobbyist said.but the basket could be further limit by prohibit combin of the largest financi and non-financi firm . for exampl , one approach would be to bar the 1,000 biggest commerci firm from own or be own by banks.anoth difficult issu concern regul dispar financi busi within a diversifi firm.almost everyon favour `` function regul , '' mean that each activ of a firm would be regul by the appropri regul . the secur and exchang commiss would regul secur activ while state insur regul would overse insur sale , for example.but debat continu about the level of feder intrus in insur regul as well as the need for a top-level regul to overse entir firms.whil some favour set the feder reserv at the top of the heap , the administr is expect to back a committe approach . the committe would be compos of repres of the variou function regul .
